filename,label,vulnerability_type,severity,risk_patterns,escalation_path,attack_path,risk_score,remediation,affected_services,secure_alternative
scraped_secure_fb742810.json,secure,none,low,none,none,[],3,N/A — this policy follows security best practices.,CloudWatch,none
scraped_escalation_admin_wildcard_96128511.json,vulnerable,admin_wildcard,critical,admin_wildcard,Wildcard action on all resources → Unrestricted access to all AWS services,"[""Wildcard action on all resources \u2192 Unrestricted access to all AWS services""]",9,Replace wildcard actions with specific required actions. Scope resources to specific ARNs.,Unknown,none
scraped_secure_5c76dfcb.json,secure,none,low,none,none,[],3,N/A — this policy follows security best practices.,"S3,ECS,CloudWatch",none
scraped_secure_5c56fe4e.json,secure,none,low,none,none,[],2,N/A — this policy follows security best practices.,STS,none
scraped_secure_75675a5b.json,secure,none,low,none,none,[],3,N/A — this policy follows security best practices.,EC2,none
scraped_vulnerable_needs_review_acb95139.json,vulnerable,needs_review,medium,needs_review,none,"[""none""]",7,Review and restrict permissions following least-privilege principle.,"IAM,EC2,Lambda,CloudFormation,CloudWatch,KMS",none
scraped_secure_06b6a9b7.json,secure,none,low,none,none,[],1,N/A — this policy follows security best practices.,S3,none
scraped_secure_7eb46e74.json,secure,none,low,none,none,[],2,N/A — this policy follows security best practices.,STS,none
scraped_secure_1c2b971c.json,secure,none,low,none,none,[],2,N/A — this policy follows security best practices.,STS,none
scraped_secure_4055b697.json,secure,none,low,none,none,[],2,N/A — this policy follows security best practices.,Unknown,none
scraped_secure_6ada2b48.json,secure,none,low,none,none,[],1,N/A — this policy follows security best practices.,CloudWatch,none
scraped_secure_5e5cc483.json,secure,none,low,none,none,[],1,N/A — this policy follows security best practices.,S3,none
scraped_secure_fb742810.json,secure,none,low,,none,[],0,,,none
scraped_escalation_admin_wildcard_96128511.json,vulnerable,none,critical,,none,[],0,,,none
scraped_secure_5c76dfcb.json,secure,none,low,,none,[],0,,,none
scraped_secure_5c56fe4e.json,secure,none,low,,none,[],0,,,none
scraped_secure_75675a5b.json,secure,none,low,,none,[],0,,,none
scraped_vulnerable_needs_review_acb95139.json,vulnerable,none,medium,,none,[],0,,,none
scraped_secure_06b6a9b7.json,secure,none,low,,none,[],0,,,none
scraped_secure_7eb46e74.json,secure,none,low,,none,[],0,,,none
